incremental_id,latitude,longitude,street_name,building_number,city,state,country,postal_code,id
0,51.506922,168.898553,Ryan Harbors,5198,Port Wayne,New Hampshire,Aruba,21587,673ef5fdcfcd208495001234
1,-3.717418,144.813169,Tracy Brooks,56024,Andrewport,Wisconsin,Madagascar,31745,673ef5fdc4ca4238a0001234
2,28.959414,5.494556,Nathaniel Highway,33689,Williamsbury,Delaware,Guernsey,77956,673ef5fdc81e728d9d001234
3,-85.120047,-103.465245,Robles Loop,63777,East Peterport,Florida,Philippines,09252,673ef5fdeccbc87e4b001234
4,-40.7538605,24.470798,Miller Fall,099,Catherinefurt,Mississippi,Aruba,66979,673ef5fda87ff679a2001234
5,56.9497995,-140.009096,Robert Extension,56318,West Tylermouth,Idaho,Sierra Leone,52693,673ef5fde4da3b7fbb001234
6,-76.7943715,-12.684283,Kelly Fall,0299,South Danielmouth,Ohio,Hungary,88859,673ef5fd1679091c5a001234
7,60.3690125,-164.553916,Emily Vista,6688,West Loriland,South Carolina,Congo,74744,673ef5fd8f14e45fce001234
8,-23.069471,-174.645562,Lauren Key,92075,Lake Brianna,Kansas,Guyana,76935,673ef5fdc9f0f895fb001234
9,69.143547,41.006927,Joseph Corner,9481,Tannerhaven,Hawaii,Nauru,44360,673ef5fd45c48cce2e001234
10,-17.854716,101.413997,Cobb Dale,08712,Gregorychester,Colorado,Pakistan,92800,673ef5fdd3d9446802001234
11,80.9994445,-101.745588,Garcia Crescent,4621,Port Mike,West Virginia,Niue,77920,673ef5fd6512bd43d9001234
12,57.5148035,162.992541,Jason Cliff,74483,Nathanberg,New York,France,46879,673ef5fdc20ad4d76f001234
13,27.164109,80.079459,Curtis Via,639,Craigfort,Kansas,Tokelau,92421,673ef5fdc51ce410c1001234
14,3.6497975,-38.096381,Richard Inlet,682,Lucasbury,Mississippi,Tonga,86450,673ef5fdaab3238922001234
15,-54.7088025,139.997288,Eddie Centers,08087,West Heather,Nevada,Saint Lucia,71157,673ef5fd9bf31c7ff0001234
16,69.951974,5.227985,Taylor Glen,389,Kevinmouth,North Dakota,Mayotte,63758,673ef5fdc74d97b01e001234
17,86.3482495,151.648361,Jill Center,866,Millerberg,South Dakota,Palestinian Territory,96079,673ef5fd70efdf2ec9001234
18,-76.9635835,-55.803117,Hector Islands,9141,Gregoryburgh,Nebraska,Turks and Caicos Islands,05549,673ef5fd6f4922f455001234
19,79.1815335,-164.414126,Jacobson Valley,684,Oliviafort,Utah,Madagascar,57046,673ef5fd1f0e3dad99001234
20,2.930231,-161.497815,Hill Street,4323,East Jasonchester,Indiana,Saint Vincent and the Grenadines,86567,673ef5fd98f1370821001234
21,75.6434945,-165.954098,Christine Pike,1269,Scottland,Massachusetts,Mali,11337,673ef5fd3c59dc048e001234
22,-54.406740,153.835216,Christina Parkway,798,Romeromouth,Alaska,Cocos (Keeling) Islands,87108,673ef5fdb6d767d2f8001234
23,9.9655125,162.452531,Hawkins Green,42506,Port Laurie,Maine,Malaysia,42388,673ef5fd37693cfc74001234
24,20.3799015,141.877150,Nelson Ford,070,Lake Melissashire,Oregon,Saint Lucia,53654,673ef5fd1ff1de7740001234
25,0.7132585,30.455961,Patricia Haven,013,Robertshaven,Virginia,Netherlands Antilles,31791,673ef5fd8e296a067a001234
26,-27.425631,-143.507408,Blake Bridge,6428,West Michael,South Dakota,Ukraine,12512,673ef5fd4e732ced34001234
27,45.7467505,-1.898461,Allen Springs,159,North Chase,New Mexico,El Salvador,19813,673ef5fd02e74f10e0001234
